localidade,coluna_idx,valor
São Paulo,1,22.6
São Paulo,2,11.2
São Paulo,3,23.41
São Paulo,4,98.33
São Paulo,5,93.33
São Paulo,6,98.45
São Paulo,7,85.0
São Paulo,8,79.42
São Paulo,9,85.17
São Paulo,10,26.31
São Paulo,11,24.66
São Paulo,12,26.37
São Paulo,13,6.18
São Paulo,14,5.16
São Paulo,15,6.26
São Paulo,16,23.18
São Paulo,17,12.52
São Paulo,18,23.83
São Paulo,19,98.3
São Paulo,20,92.95
São Paulo,21,98.43
São Paulo,22,84.72
São Paulo,23,77.9
São Paulo,24,84.92
São Paulo,25,24.19
São Paulo,26,23.04
São Paulo,27,24.22
São Paulo,28,5.85
São Paulo,29,5.12
São Paulo,30,5.91
São Paulo,31,22.07
São Paulo,32,10.26
São Paulo,33,23.01
São Paulo,34,98.37
São Paulo,35,93.78
São Paulo,36,98.47
São Paulo,37,85.3
São Paulo,38,80.91
São Paulo,39,85.43
São Paulo,40,28.51
São Paulo,41,26.17
São Paulo,42,28.59
São Paulo,43,6.46
São Paulo,44,5.19
São Paulo,45,6.58
Sul,1,22.97
Sul,2,9.64
Sul,3,23.95
Sul,4,98.52
Sul,5,92.9
Sul,6,98.65
Sul,7,85.77
Sul,8,79.03
Sul,9,85.95
Sul,10,29.79
Sul,11,27.61
Sul,12,29.85
Sul,13,5.91
Sul,14,3.98
Sul,15,6.09
Sul,16,23.1
Sul,17,10.7
Sul,18,23.91
Sul,19,98.47
Sul,20,92.34
Sul,21,98.61
Sul,22,85.22
Sul,23,77.2
Sul,24,85.43
Sul,25,26.58
Sul,26,25.87
Sul,27,26.6
Sul,28,5.43
Sul,29,3.91
Sul,30,5.55
Sul,31,22.84
Sul,32,8.84
Sul,33,24.0
Sul,34,98.58
Sul,35,93.58
Sul,36,98.69
Sul,37,86.34
Sul,38,80.86
Sul,39,86.49
Sul,40,33.07
Sul,41,29.29
Sul,42,33.19
Sul,43,6.35
Sul,44,4.03
Sul,45,6.59
Paraná,1,23.96
Paraná,2,10.19
Paraná,3,24.94
Paraná,4,98.77
Paraná,5,92.58
Paraná,6,98.89
Paraná,7,84.94
Paraná,8,77.83
Paraná,9,85.12
Paraná,10,30.4
Paraná,11,30.23
Paraná,12,30.4
Paraná,13,6.15
Paraná,14,4.35
Paraná,15,6.31
Paraná,16,24.17
Paraná,17,11.18
Paraná,18,25.01
Paraná,19,98.68
Paraná,20,91.76
Paraná,21,98.83
Paraná,22,84.63
Paraná,23,76.58
Paraná,24,84.83
Paraná,25,27.56
Paraná,26,28.78
Paraná,27,27.52
Paraná,28,5.73
Paraná,29,4.33
Paraná,30,5.84
Paraná,31,23.76
Paraná,32,9.42
Paraná,33,24.88
Paraná,34,98.86
Paraná,35,93.59
